question,document
Is there a better way to generate Kestra plugin YAML than using a generic AI assistant?,93a3e8b98c
Why would a GCS Upload task use `to` instead of separate `bucket` and `name` properties?,93a3e8b98c
"For Kestra BigQuery LoadFromGcs, why is `destinationTable` the right field instead of splitting project, dataset, and table?",93a3e8b98c
"Why do people monitor token usage in Kestra flows, and how does it help with LLM costs?",a4adc70f41
What’s the point of tracking tokens in a scheduled or looping workflow in Kestra?,a4adc70f41
How can token counts help me reduce spending when my flow calls an LLM a lot?,a4adc70f41
Why is it useful to look at token usage for each AI task instead of just the final result?,a4adc70f41
How do I use token usage in Kestra to catch a workflow that might be getting too expensive?,a4adc70f41
How do I get rid of the Docker Desktop error saying a path like /tmp/... isn’t shared from the host?,dd8b4c9fda
"When I run Kestra with Docker, it says mounts denied for /tmp/kestra-wd — what do I need to change in Docker Desktop?",dd8b4c9fda
Do I have to add /tmp to Docker Desktop file sharing to fix the container mount error?,dd8b4c9fda
What’s the fix if docker compose up fails because Docker can’t access the host folder it’s trying to mount?,dd8b4c9fda
"After updating Docker Desktop file sharing, do I need to restart and rerun docker compose for Kestra?",dd8b4c9fda
"In my Kestra flow I keep getting a 404 NOT_FOUND from Gemini — is the model broken, or do I just need to change the model id?",d51bbe2da0
Which Gemini model name should I use in the YAML if the one from the course is unavailable on my account?,d51bbe2da0
"If I update the `model-name` in `docker-compose.yml`, do I also need to restart the Docker Compose services for it to take effect?",d51bbe2da0
How can I check which Gemini model ids are currently available instead of assuming the course model still works?,d51bbe2da0
"For the GoogleGemini provider in Kestra, do I just swap `modelName` to another supported model and rerun the flow?",d51bbe2da0
"For the Module 3 Kestra homework, what exactly am I supposed to upload if I built everything in the Kestra UI?",f29f622684
"Do I need to commit the Kestra flow YAML files for the homework, or is a README enough?",f29f622684
"If I changed any scripts used by my Kestra flows, should those go in the repo too?",f29f622684
What kind of GitHub repo should I link in the Module 3 submission form when the work was done in Kestra?,f29f622684
"Where do I put my answers for Q1, Q2, etc. if the repo is only for the Kestra homework files?",f29f622684
Why do I get `JSONDecodeError: Expecting value` when I try to parse the LLM output as JSON?,a3c7e1b4f9
How can I make the model return clean JSON instead of a markdown code block or extra text?,a3c7e1b4f9
What should I add to my OpenAI call so `json.loads()` stops failing on the response?,a3c7e1b4f9
Is there a way to tell the LLM to output only a JSON object with a `questions` list and nothing else?,a3c7e1b4f9
"Do other LLM providers have a similar setting for forcing JSON output, like OpenAI's `response_format`?",a3c7e1b4f9
Why does my Jupyter kernel crash when I try to embed the ground-truth set in the eval notebook?,b8f2d6a30c
What can I do if the notebook runs out of memory while loading an embedding model and the dataset at the same time?,b8f2d6a30c
Is there a smaller sentence-transformers model I can swap in to avoid RAM issues during evaluation?,b8f2d6a30c
Can I move the embedding step out of the notebook and run it from the terminal instead?,b8f2d6a30c
How do I handle ground-truth embeddings on a low-RAM Codespaces machine without crashing the kernel?,b8f2d6a30c
Why does my `tqdm` loop still hit Gemini limits even after I added `time.sleep(4)` between requests?,c1e9f4b820
What should I do if I keep getting rate-limited while building the ground-truth dataset in Module 4?,c1e9f4b820
Is there a cheaper API option I can use instead of Gemini for generating the full evaluation set?,c1e9f4b820
How can I reduce the chance of hitting request limits when I’m using a thread pool for the API calls?,c1e9f4b820
"If the run gets interrupted by a quota error, what’s the best way to continue without losing the work I already did?",c1e9f4b820
Why does Module 4 jump from lesson 6 to lesson 11 in the filenames?,57c8d3a1e4
"Are lessons 7, 8, 9, and 10 missing in Module 4, or is there another reason for the gap?",57c8d3a1e4
How are the Module 4 lessons organized between the RAG evaluation part and the agent evaluation part?,57c8d3a1e4
What does the numbering in Module 4 filenames mean when it goes from 01-06 to 11-15?,57c8d3a1e4
Why does `06-search-tuning.md` come right before `11-evaluation-intro.md` in Module 4?,57c8d3a1e4
How do I fix the WinError 126 / fbgemm.dll missing issue on Windows when importing torch?,15e931476c
Is installing Visual C++ Redistributable enough for the PyTorch fbgemm.dll error on Windows?,15e931476c
"Do I need Visual Studio or Visual Studio Code to resolve the ""specified module could not be found"" error with torch?",15e931476c
What should I install if Python says it can't load fbgemm.dll or one of its dependencies on Windows?,15e931476c
I keep getting the PyTorch fbgemm.dll dependency error on Windows 10/11 — what's the recommended fix?,15e931476c
"Why do I get an OperationalError about not being able to translate the host name ""postgres"" when I run `python prep.py`?",4b65d5542d
My script fails with `psycopg2.OperationalError: could not translate host name 'postgres' to address` — what should I change?,4b65d5542d
"In the monitoring module, how do I fix the PostgreSQL connection error caused by the `postgres` host name?",4b65d5542d
What setting in the `.env` file should I update if `prep.py` says it can't resolve `postgres`?,4b65d5542d
Is there a quick fix for the `No such host is known` error when connecting to Postgres from `prep.py`?,4b65d5542d
How do I make Pandas stop cutting off long text in a DataFrame column?,641aedbbf5
What setting do I use to see the full Explanation text in the offline-rag-evaluation notebook?,641aedbbf5
"Why does Pandas only show part of my column value, and how can I display the whole thing?",641aedbbf5
"In the LLM-as-judge section, how can I view the entire explanation output instead of the shortened version?",641aedbbf5
Is there a Pandas option to remove the 50-character limit for column display?,641aedbbf5
How can I normalize vectors stored in a Pandas DataFrame column?,5039707c1a
What's a simple way to normalize a Pandas Series of vectors with NumPy?,5039707c1a
How do I create a new column with normalized vectors from an existing one in pandas?,5039707c1a
Is there a quick lambda function to divide each vector by its norm in a DataFrame column?,5039707c1a
How can I apply vector normalization to every item in a Pandas column?,5039707c1a
How do I get the 75th percentile from a Pandas DataFrame column?,b4c8ac5a0c
What's the simplest way to calculate a 0.75 quantile in a Pandas Series?,b4c8ac5a0c
How can I find a column's percentile value in Pandas using quantile()?,b4c8ac5a0c
How do I compute the 75% quantile for df['col']?,b4c8ac5a0c
"In Pandas, how do you get the percentile of a DataFrame column?",b4c8ac5a0c
"How do I force-delete every Docker container from the terminal, even the ones still running?",66ccbb7da0
What’s the command to remove all Docker images at once using the CLI?,66ccbb7da0
How can I delete every Docker volume with one terminal command?,66ccbb7da0
"Is there a quick way to wipe all containers, images, and volumes in Docker from the command line?",66ccbb7da0
What commands do I use to clean up my Docker setup and remove everything in bulk?,66ccbb7da0
"How can I make sure a user can only send feedback once per submission, like only one +1 or -1?",2e729f1271
Why does my Streamlit feedback button keep getting disabled and then enabled again when `st.session.submitted` changes?,2e729f1271
Is there a way to stop `st.session.submitted` from being reset to True after one feedback click?,2e729f1271
"In Streamlit, how do I prevent the session flag from being reassigned when I press a feedback button?",2e729f1271
What’s the fix for the problem where `st.session.submitted` gets set back to True even after feedback was already given?,2e729f1271
"Why do I get `exec: ""streamlit"": executable file not found in $PATH` when starting my streamlit app with docker-compose, even though it works locally?",e8df9f0d12
What should I check first if docker-compose fails with `OCI runtime create failed` and says it can't find `streamlit`?,e8df9f0d12
Do I need a Dockerfile for a streamlit app before running it with docker-compose?,e8df9f0d12
How can I fix a streamlit container that starts fine outside Docker but breaks when I use `docker-compose up`?,e8df9f0d12
"After changing my docker-compose setup for streamlit, what command should I run to rebuild everything and start it again?",e8df9f0d12
"Can we do the capstone together as a team, or does everyone need their own project?",0fab61eca2
"If two students work on one bigger idea, how should the final submission be structured?",0fab61eca2
Is it okay to collaborate on the capstone and still get separate credit?,0fab61eca2
What counts as an independent capstone project if the system is shared with others?,0fab61eca2
"If my project depends on someone else's work, will it still meet the requirement?",0fab61eca2
"Do I need to submit two capstone projects, or is one enough?",d5fc98925d
What exactly do attempt 1 and attempt 2 mean for the capstone submission?,d5fc98925d
"If my first submission gets rejected, can I fix it and send it again later?",d5fc98925d
"Can I submit a second project just for practice, and does it have to be a different dataset/topic?",d5fc98925d
"If I miss the first submission deadline, can I still join in for the second window?",d5fc98925d
"Is the competition considered the capstone project, or is capstone supposed to be done separately?",e892d44e42
"Can we do the math-kaggle-llm competition in a group, or does capstone have to be individual?",e892d44e42
"If I join the math-kaggle-llm competition with a team, does that count toward the capstone requirement?",e892d44e42
"Are teams allowed for the competition, and how does that relate to the capstone being individual?",e892d44e42
Do I need to complete the capstone on my own even if I participate in the competition with others?,e892d44e42
How do you score capstone projects in this course — is it peer reviewed?,9a2e2d2008
"Will my final capstone grade come from other students, and how is that score calculated?",9a2e2d2008
"How many classmates review each capstone submission, and do I also have to review others?",9a2e2d2008
What happens if I skip the required peer grading for capstone projects?,9a2e2d2008
Does the capstone evaluation use the average or the median of the reviewers’ scores?,9a2e2d2008
"After the deadline, how are the project reviews assigned to each participant?",eae0fb50aa
Will we get an Excel sheet with the projects we need to grade?,eae0fb50aa
How many projects does each person have to review after submissions close?,eae0fb50aa
When exactly are the review assignments shared for the capstone projects?,eae0fb50aa
Do we get assigned three projects each for grading once the deadline is over?,eae0fb50aa
"I already turned in my capstone project, so why am I still not seeing anything to review?",a8a7fef016
When do project reviews actually get assigned after the submission deadline?,a8a7fef016
"Can I pick which submitted projects I want to evaluate, or is it assigned automatically?",a8a7fef016
Why is the review list empty even though I’ve finished my own project submission?,a8a7fef016
Is there a way to start reviewing capstone projects before the list is released?,a8a7fef016
Where can I find project ideas and datasets for the capstone project?,e76a70cde3
Is there a GitHub page with suggestions for datasets I can use in the project?,e76a70cde3
"What’s the best place to look for ideas, datasets, and tips for the capstone?",e76a70cde3
Can I get some project inspiration and dataset options from a link somewhere?,e76a70cde3
Where should I go if I need guidelines plus possible datasets for the project?,e76a70cde3
"Do I have to use Airflow, Mage, or Kestra for the capstone ingestion pipeline, or is a simple Python script enough?",d4f7c08ea1
Can I still get full points for the ingestion pipeline if I just write a plain script that loads and indexes the data?,d4f7c08ea1
"Is a Jupyter notebook acceptable for the capstone data ingestion part, or does it lose points?",d4f7c08ea1
When would it make sense to add an orchestrator to the capstone project instead of just using Python?,d4f7c08ea1
"Should I include an orchestration tool just to satisfy the capstone rubric, or only if my project really needs it?",d4f7c08ea1
How can I evaluate a recommender-style RAG when there isn’t any obvious ground-truth Q&A data?,9b0e2d6a47
What’s a good way to create synthetic test queries for my items so I can check retrieval quality?,9b0e2d6a47
"If I use synthetic queries, which metrics should I look at besides just hit rate?",9b0e2d6a47
How do I use an LLM as a judge to score the end-to-end output of a RAG system?,9b0e2d6a47
"For ranking/recommendation tasks, is NDCG a better metric than hit rate, and why?",9b0e2d6a47
My PDFs are huge and split into tons of paragraphs. What chunking approach should I start with for a RAG project?,6f2a8b3d10
Is it worth spending a lot of time trying to build the perfect chunker before I evaluate anything?,6f2a8b3d10
"For long docs like legal or financial files, should I use only semantic chunking or something else too?",6f2a8b3d10
"Would it help to have an LLM split the document into sections, or maybe make short summaries for each chunk?",6f2a8b3d10
"What tools do people use to turn messy PDFs into cleaner text before chunking, especially for papers or tables?",6f2a8b3d10
"What does reproducibility mean for the capstone project, and do reviewers need my API keys?",e5d8a2c761
How should I set up the repo so someone can rebuild the search index from scratch?,e5d8a2c761
"Should I put my .env file in the project repo, or just share a template?",e5d8a2c761
What kind of model should I use so reviewers don't waste credits when they run my project?,e5d8a2c761
Do I need to pin package versions and mention the Python or Docker version in the README?,e5d8a2c761
"Do I have to use Python for the homework and the capstone project, or can I build it in something like JavaScript, Go, or Rust?",ea815eb858
"Is it actually allowed to submit the final project in a non-Python stack, and if so, when would that make sense?",ea815eb858
"If I choose a language other than Python, what kind of README or setup instructions do I need to include for the reviewer?",ea815eb858
"Will reviewers expect Python code by default, and could using another language make grading or reproduction harder?",ea815eb858
"What does the course mean by making a non-Python submission easy to install and run on Windows, macOS, and Linux?",ea815eb858
Where do I browse old LLM Zoomcamp project submissions?,930286278d
Is there a page with 2024 and 2025 capstone projects from the course?,930286278d
Can I see previous student projects to get an idea of the capstone scope?,930286278d
Where are the submitted LLM Zoomcamp repositories listed for past years?,930286278d
Do you have links to earlier LLM Zoomcamp project examples?,930286278d
Do I need to reserve my project idea before I start the capstone?,897a350476
Should I announce my LLM Zoomcamp project topic somewhere first?,897a350476
"If I want feedback on my project idea, is Slack the right place to ask?",897a350476
Can I make a project on a topic that was already done before?,897a350476
Is it okay if my project is similar to previous ones as long as I build it myself?,897a350476
Can I build my capstone with a Telegram bot or WhatsApp bot instead of a website?,7318a90b14
"Is it okay to use a CLI, Slack app, or notebook as the user interface for the project?",7318a90b14
"Do I have to make the capstone available through a web app, or can I choose any interface I want?",7318a90b14
"Will the course show how to build Telegram, WhatsApp, or other custom interfaces for the project?",7318a90b14
"As long as the project passes the evaluation criteria, can I expose it through whatever interface fits my idea?",7318a90b14
"What’s a good tool for pulling text out of PDFs for a RAG app, especially if the docs are messy or scanned?",d8b28c47a0
Do you have a recommended library for converting PDFs into Markdown or JSON for retrieval use cases?,d8b28c47a0
"If my PDF is just images and has no text layer, what should I use to OCR it?",d8b28c47a0
Is there a simple way to extract text from many different document formats without worrying about layout too much?,d8b28c47a0
"Should I try local OCR tools first, or is it okay to use a hosted OCR API for document extraction?",d8b28c47a0
"Can I use the workshop stuff in my own capstone project, or is it only for the class?",d850a0e7ea
Is it okay to reuse the dlt workshop material for other projects outside this workshop?,d850a0e7ea
Would it be fine to apply dlt in an MLOps Zoomcamp project too?,d850a0e7ea
Are we allowed to ask questions and use the workshop content directly in our projects?,d850a0e7ea
"Since dlt is open source, can I share or adapt the workshop materials for my own work?",d850a0e7ea
How do I start a new dlt project for loading data from cloud storage?,6bceeebf04
What command should I run to initialize a dlt filesystem to DuckDB setup?,6bceeebf04
Is there a quick way to create a dlt project when I want to load from a cloud source?,6bceeebf04
Which dlt init command should I use for the filesystem-to-duckdb tutorial?,6bceeebf04
Where should I look for more setup steps after initializing the dlt project?,6bceeebf04
"Why do I get `FileNotFoundError: Table notion_pages___homework does not exist` when I call `db.open_table(""notion_pages___homework"")`?",0407213397
"I changed one table name to `homework`, but opening `notion_pages___homework` still fails — what am I missing?",0407213397
Does this `Table ... does not exist` error mean I forgot to rename something in the pipeline config?,0407213397
"If my pipeline still mentions `employee_handbook`, can that cause `db.open_table(""notion_pages___homework"")` to break?",0407213397
What should I check in my dlt settings when the homework table can't be opened?,0407213397
How do I fix FileNotFoundError: Table notion_pages___homework does not exist when running main()?,e95bfafc0e
"If I get an error saying the notion_pages___homework table doesn't exist, which table name should I open in line 3?",e95bfafc0e
What should db.open_table use in the dlt homework notebook for notion pages?,e95bfafc0e
"Why am I seeing a message to call db.create_table(notion_pages___homework, data) before running main(), and how do I avoid it?",e95bfafc0e
"In the Open-Source Data Ingestion workshop, what is the correct code for opening the homework table?",e95bfafc0e
How can I list all tables in the database?,e394e6f738
Is there a way to see which tables exist in the db?,e394e6f738
What method should I use to get the names of every table?,e394e6f738
How do I check the table names in a database with dlt?,e394e6f738
Can I find all db tables using `table_names()`?,e394e6f738
"Does DLT currently support ClickHouse or StarRocks connectors, or are they still missing?",cd19f122f3
"Can I use DLT with ClickHouse or StarRocks right now, or do I need to build my own connector?",cd19f122f3
"Are there official connectors in DLT for ClickHouse and StarRocks, or only community ones?",cd19f122f3
"Is there any plan to add ClickHouse or StarRocks support in DLT, maybe through community contributions?",cd19f122f3
"Why doesn’t DLT have ClickHouse or StarRocks connectors yet, and can the community help add them?",cd19f122f3
"Why do I get a 401 Unauthorized from the Notion API in the notebook, and how can I fix the access issue?",0dfba07ace
My notebook can’t access Notion secrets and I see an unauthorized error on api.notion.com/v1/search — what should I check first?,0dfba07ace
"Is this Notion login problem caused by a bad API key, expired token, or wrong endpoint? How do I tell?",0dfba07ace
"What are the common reasons the notebook fails with Notion API authorization errors, and what settings should I verify?",0dfba07ace
I’m getting a Client Error: Unauthorized when calling Notion from the dlt workshop notebook. What steps should I follow to debug it?,0dfba07ace
How do I install the newer requests version from the GitHub zip instead of getting v2.28 from pip?,4b30b918bc
I'm stuck with an older requests install for lancedb — what's the exact pip command to pull v2.32.3?,4b30b918bc
"Why am I seeing a 401 Client Error during this setup, and is it related to my key permissions?",4b30b918bc
"If my access key is wrong or not granted, how can I tell whether the 401 is coming from that issue?",4b30b918bc
What command should I run to force-install requests 2.32.3 directly from the source archive?,4b30b918bc
